Global Statistics
Total number of particles:,5501
Surface Coverage (%):,34.37
Total grain area (µm²):,133844.25
Mean grain area (µm²):,24.33
Particle density (particles/µm²):,0.014128

Size Distribution Statistics
Mean area (µm²):,24.33
Median area (µm²):,20.25
Standard deviation of area (µm²):,15.81
Mean perimeter (µm):,19.93
Median perimeter (µm):,17.81
Standard deviation of perimeter (µm):,8.77

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
320,53.0,16.43,15.19,29.61,10.9,38.28
321,53.0,16.43,88.02,31.73,10.98,40.87
322,53.0,16.43,28.41,24.44,13.34,37.35
323,53.0,16.43,86.58,20.36,15.21,32.8
324,53.0,16.43,-34.43,29.21,10.63,36.59
325,53.0,16.43,-23.43,21.79,12.87,32.9
326,52.75,16.39,46.17,29.47,10.97,39.04
327,52.75,16.39,32.56,27.0,11.85,36.21
328,52.75,16.39,-67.71,28.7,11.18,37.83
329,52.75,16.39,-68.39,24.42,11.51,32.88
330,52.75,16.39,1.31,24.86,11.67,33.63
331,52.75,16.39,-52.64,35.03,9.58,40.96
332,52.75,16.39,-31.29,26.74,10.77,34.83
333,52.75,16.39,2.55,19.47,14.85,33.01
334,52.5,16.35,-75.24,22.08,13.21,33.04
335,52.5,16.35,-81.59,22.95,12.08,32.21
336,52.5,16.35,-68.27,27.26,10.96,36.65
337,52.5,16.35,29.51,20.36,13.91,31.3
338,52.25,16.31,-86.15,19.4,16.16,34.71
339,52.25,16.31,15.64,17.43,16.25,31.51
340,52.25,16.31,-17.83,23.84,11.95,31.38
341,52.25,16.31,-85.29,22.04,13.29,32.59
342,52.25,16.31,-35.55,31.89,10.6,41.97
343,52.25,16.31,-74.59,26.55,11.13,36.04
344,52.25,16.31,-82.41,32.61,10.38,39.92
345,52.0,16.27,16.09,21.35,13.38,32.09
346,52.0,16.27,-9.76,19.49,16.13,35.21
347,52.0,16.27,-50.37,27.39,10.53,34.33
348,52.0,16.27,-61.38,22.62,13.83,35.04
349,52.0,16.27,-17.24,24.86,11.33,31.76
350,52.0,16.27,-19.49,25.25,11.16,33.63
351,52.0,16.27,15.5,24.02,12.36,36.27
352,51.75,16.23,-32.05,23.65,12.57,32.59
353,51.75,16.23,47.58,23.42,12.16,33.25
354,51.75,16.23,44.27,22.65,12.38,30.68
355,51.75,16.23,-13.5,23.54,12.81,34.71
356,51.75,16.23,-23.18,32.42,12.35,43.04
357,51.75,16.23,71.68,21.95,12.93,33.01
358,51.5,16.2,64.9,22.02,14.66,34.8
359,51.5,16.2,-59.66,27.28,10.29,34.71
360,51.5,16.2,38.03,26.26,10.9,34.8
361,51.5,16.2,6.51,20.91,13.23,30.88
362,51.5,16.2,68.01,26.81,11.24,34.63
363,51.5,16.2,-14.62,21.65,13.11,31.59
364,51.25,16.16,8.09,21.7,12.65,31.09
365,51.25,16.16,-9.62,21.97,12.47,32.38
366,51.25,16.16,9.1,27.65,10.02,35.13
367,51.25,16.16,-79.06,22.39,14.39,35.46
368,51.0,16.12,-12.1,23.59,11.64,33.21
369,51.0,16.12,-63.43,26.29,10.89,32.33
370,51.0,16.12,-83.71,22.19,13.38,33.49
371,51.0,16.12,-65.15,26.55,10.82,33.3
372,51.0,16.12,81.26,22.21,12.99,32.63
373,51.0,16.12,26.0,27.07,14.18,41.78
374,51.0,16.12,44.87,22.91,15.49,40.35
375,51.0,16.12,21.12,19.79,13.82,29.3
376,51.0,16.12,-80.08,23.93,14.31,38.16
377,50.75,16.08,54.68,32.09,9.6,40.66
378,50.75,16.08,-82.97,19.09,17.45,36.46
379,50.75,16.08,9.74,22.74,12.89,33.63
380,50.75,16.08,58.5,22.51,12.28,31.51
381,50.5,16.04,-41.78,23.0,11.86,31.75
382,50.5,16.04,25.37,28.6,10.97,40.15
383,50.5,16.04,-67.76,18.28,14.87,28.38
384,50.5,16.04,7.04,26.27,10.42,34.8
385,50.5,16.04,-5.12,22.35,12.54,33.11
386,50.5,16.04,-85.15,28.28,10.98,37.33
387,50.5,16.04,85.41,25.19,11.06,33.09
388,50.25,16.0,65.82,19.46,14.43,31.68
389,50.25,16.0,-2.19,25.0,11.47,35.32
390,50.25,16.0,-0.92,25.47,11.6,35.13
391,50.25,16.0,-61.48,17.83,14.64,28.38
392,50.25,16.0,-69.45,22.57,12.28,31.51
393,50.25,16.0,89.03,20.92,13.22,31.04
394,50.25,16.0,33.99,23.55,12.46,34.37
395,50.25,16.0,-27.75,21.71,12.9,32.71
396,50.0,15.96,-80.59,21.37,13.38,32.68
397,50.0,15.96,-40.37,22.08,12.52,32.01
398,50.0,15.96,23.87,32.13,11.29,41.87
399,50.0,15.96,41.85,24.87,11.31,33.59
400,50.0,15.96,-71.04,21.7,12.58,31.3
401,50.0,15.96,-40.89,25.12,11.34,34.54
402,50.0,15.96,-13.78,22.21,13.45,33.33
403,49.75,15.92,4.34,21.43,12.47,30.51
404,49.75,15.92,-63.02,18.81,14.71,31.63
405,49.75,15.92,-42.88,23.51,14.92,38.52
406,49.75,15.92,6.18,27.3,11.37,37.15
407,49.75,15.92,60.54,23.4,13.27,36.32
